Species,Production System,Stage/Weight,Target Moisture Level,,
African Catfish,General,200-500g (Grower),10%,,
,,,,,
Code,Specification,Short Name,Unit,Restriction Type,Value
PA02,Moisture,H2O,%,Minimum,10
PA03,Crude  Protein,CP,%,Minimum,34
PA04,Crude Lipids,LIPID,%,Minimum,8
PA05,Crude Fibre,CF,%,Maximum,7
PA06,Ash,ASH,%,Maximum,
PA07,NFE,NFE,%,Maximum,
PA08,NDF,NDF,%,Maximum,
PA09,ADF,ADF,%,Maximum,
PA11,Starch,STARC,%,Minimum,18
ED01,DE Fish Carni,,kcal,Minimum,3313
ED02,DE Fish Omni,,kcal,Minimum,
ED03,DE Carp,,kcal,Minimum,
ED04,DE Shrimp,,kcal,Minimum,
ADPXF02,Dig CP -fish,DP,%,Minimum,30
ADPXF04,Dig GE (DE) - fish,DE kcal,kcal,Minimum,3342
ADPXF09,DP/DE  (g/MJ),DP/DE J,g/MJ,Ratio,21.8
ADPXF10,DP/DE (g/kcal),DP/DE C,g/kcal,Ratio,
AA01,Arginine,ARG,%,Minimum,1.79
AA02,Histidine,HIS,%,Minimum,0.79
AA03,Isoleucine,ILE,%,Minimum,1.24
AA04,Leucine,LEU,%,Minimum,2.39
AA05,Lysine,LYS,%,Minimum,2.06
AA06,Methionine,MET,%,Minimum,0.80
AA07,Phenylalanine,PHE,%,Minimum,1.27
AA08,Threonine,THR,%,Minimum,1.24
AA09,Tryptophan,TRP,%,Minimum,0.30
AA10,Valine,VAL,%,Minimum,1.51
AA11,Cysteine,CYS,%,Minimum,
AA12,TSAA (Met+Cys),SAA,%,Minimum,1.08
AA13,Tyrosine,TYR,%,Minimum,
AA14,Phe+Tyr,PHE+TYR,%,Minimum,2.20
AA20,Sum EAAs,,%,Minimum,
AA23,Taurine,TAU,%,Minimum,
ADAAF01,Dig Arg - fish,DARG,%,Minimum,1.60
ADAAF02,Dig His - fish,DHIS,%,Minimum,0.70
ADAAF03,Dig Ile - fish,DILE,%,Minimum,1.10
ADAAF04,Dig Leu - fish,DLEU,%,Minimum,2.13
ADAAF05,Dig Lys - fish,DLYS,%,Minimum,1.83
ADAAF06,Dig Met - fish,DMET,%,Minimum,0.71
ADAAF07,Dig Phe - fish,DPHE,%,Minimum,1.13
ADAAF08,Dig Thr - fish,DTHR,%,Minimum,1.10
ADAAF09,Dig Trp - fish,DTRP,%,Minimum,0.26
ADAAF10,Dig Val - fish,DVAL,%,Minimum,1.35
ADAAF12,Dig TSAA (Met+Cys),DSAA,%,Minimum,
FA05,Linolenic 18:3 n-3,ALA,%,Minimum,
FA07,EPA 20:5 n-3,EPA,%,Minimum,
FA08,DHA 22:6 n-3,DHA,%,Minimum,
FA081,EPA+DHA,EPA+DHA,%,Minimum,0.25
